"Timestamp","SG010-CM01001 Basement Main (L)"
"2025-08-19 11:15:00",1780
"2025-08-19 11:30:00",2120
"2025-08-19 11:45:00",1710
"2025-08-19 12:00:00",1900
"2025-08-19 12:15:00",600
"2025-08-19 12:30:00",800
"2025-08-19 12:45:00",1120
"2025-08-19 13:00:00",2210
"2025-08-19 13:15:00",1550
"2025-08-19 13:30:00",810
"2025-08-19 13:45:00",1200
"2025-08-19 14:00:00",920
"2025-08-19 14:15:00",1040
"2025-08-19 14:30:00",1130
"2025-08-19 14:45:00",1750
"2025-08-19 15:00:00",1950
"2025-08-19 15:15:00",1280
"2025-08-19 15:30:00",1320
"2025-08-19 15:45:00",1130
"2025-08-19 16:00:00",1210
"2025-08-19 16:15:00",1500
"2025-08-19 16:30:00",1590
"2025-08-19 16:45:00",1890
"2025-08-19 17:00:00",1650
"2025-08-19 17:15:00",1360
"2025-08-19 17:30:00",730
"2025-08-19 17:45:00",2110
"2025-08-19 18:00:00",1460
"2025-08-19 18:15:00",2210
"2025-08-19 18:30:00",1210
"2025-08-19 18:45:00",2420
"2025-08-19 19:00:00",1320
"2025-08-19 19:15:00",1350
"2025-08-19 19:30:00",1370
"2025-08-19 19:45:00",1420
"2025-08-19 20:00:00",610
"2025-08-19 20:15:00",710
"2025-08-19 20:30:00",410
"2025-08-19 20:45:00",190
"2025-08-19 21:00:00",10
"2025-08-19 21:15:00",350
"2025-08-19 21:30:00",1670
"2025-08-19 21:45:00",1310
"2025-08-19 22:00:00",890
"2025-08-19 22:15:00",480
"2025-08-19 22:30:00",80
"2025-08-19 22:45:00",720
"2025-08-19 23:00:00",1160
"2025-08-19 23:15:00",890
"2025-08-19 23:30:00",830
"2025-08-19 23:45:00",810
"2025-08-20 00:00:00",730
"2025-08-20 00:15:00",130
"2025-08-20 00:30:00",0
"2025-08-20 00:45:00",10
"2025-08-20 01:00:00",290
"2025-08-20 01:15:00",360
"2025-08-20 01:30:00",120
"2025-08-20 01:45:00",40
"2025-08-20 02:00:00",50
"2025-08-20 02:15:00",500
"2025-08-20 02:30:00",60
"2025-08-20 02:45:00",330
"2025-08-20 03:00:00",280
"2025-08-20 03:15:00",230
"2025-08-20 03:30:00",440
"2025-08-20 03:45:00",90
"2025-08-20 04:00:00",100
"2025-08-20 04:15:00",670
"2025-08-20 04:30:00",560
"2025-08-20 04:45:00",1350
"2025-08-20 05:00:00",1570
"2025-08-20 05:15:00",1490
"2025-08-20 05:30:00",990
"2025-08-20 05:45:00",1180
"2025-08-20 06:00:00",730
"2025-08-20 06:15:00",870
"2025-08-20 06:30:00",590
"2025-08-20 06:45:00",690
"2025-08-20 07:00:00",1840
"2025-08-20 07:15:00",910
"2025-08-20 07:30:00",650
"2025-08-20 07:45:00",820
"2025-08-20 08:00:00",1930
"2025-08-20 08:15:00",1010
"2025-08-20 08:30:00",1110
"2025-08-20 08:45:00",2590
"2025-08-20 09:00:00",2690
"2025-08-20 09:15:00",1250
"2025-08-20 09:30:00",1760
"2025-08-20 09:45:00",2220
"2025-08-20 10:00:00",1980
"2025-08-20 10:15:00",2150
"2025-08-20 10:30:00",1620
"2025-08-20 10:45:00",1970
"2025-08-20 11:00:00",1200
"2025-08-20 11:15:00",1310
"2025-08-20 11:30:00",890
"2025-08-20 11:45:00",2410
"2025-08-20 12:00:00",1480
"2025-08-20 12:15:00",1500
"2025-08-20 12:30:00",1500
"2025-08-20 12:45:00",2210
"2025-08-20 13:00:00",1530
"2025-08-20 13:15:00",1890
"2025-08-20 13:30:00",1850
"2025-08-20 13:45:00",2200
"2025-08-20 14:00:00",1780
"2025-08-20 14:15:00",2650
"2025-08-20 14:30:00",1120
"2025-08-20 14:45:00",690
"2025-08-20 15:00:00",520
"2025-08-20 15:15:00",500
"2025-08-20 15:30:00",1800
"2025-08-20 15:45:00",250
"2025-08-20 16:00:00",230
"2025-08-20 16:15:00",190
"2025-08-20 16:30:00",240
"2025-08-20 16:45:00",690
"2025-08-20 17:00:00",130
"2025-08-20 17:15:00",40
"2025-08-20 17:30:00",0
"2025-08-20 17:45:00",450
"2025-08-20 18:00:00",1000
"2025-08-20 18:15:00",390
"2025-08-20 18:30:00",420
"2025-08-20 18:45:00",1000
"2025-08-20 19:00:00",620
"2025-08-20 19:15:00",240
"2025-08-20 19:30:00",80
"2025-08-20 19:45:00",690
"2025-08-20 20:00:00",800
"2025-08-20 20:15:00",650
"2025-08-20 20:30:00",1090
"2025-08-20 20:45:00",1370
"2025-08-20 21:00:00",730
"2025-08-20 21:15:00",410
"2025-08-20 21:30:00",0
"2025-08-20 21:45:00",0
"2025-08-20 22:00:00",680
"2025-08-20 22:15:00",810
"2025-08-20 22:30:00",440
"2025-08-20 22:45:00",0
"2025-08-20 23:00:00",0
"2025-08-20 23:15:00",0
"2025-08-20 23:30:00",0
"2025-08-20 23:45:00",390
"2025-08-21 00:00:00",420
"2025-08-21 00:15:00",660
"2025-08-21 00:30:00",690
"2025-08-21 00:45:00",330
"2025-08-21 01:00:00",20
"2025-08-21 01:15:00",0
"2025-08-21 01:30:00",0
"2025-08-21 01:45:00",410
"2025-08-21 02:00:00",890
"2025-08-21 02:15:00",1080
"2025-08-21 02:30:00",700
"2025-08-21 02:45:00",630
"2025-08-21 03:00:00",700
"2025-08-21 03:15:00",200
"2025-08-21 03:30:00",0
"2025-08-21 03:45:00",0
"2025-08-21 04:00:00",0
"2025-08-21 04:15:00",410
"2025-08-21 04:30:00",0
"2025-08-21 04:45:00",0
"2025-08-21 05:00:00",420
"2025-08-21 05:15:00",440
"2025-08-21 05:30:00",0
"2025-08-21 05:45:00",30
"2025-08-21 06:00:00",1330
"2025-08-21 06:15:00",1600
"2025-08-21 06:30:00",1280
"2025-08-21 06:45:00",1050
"2025-08-21 07:00:00",810
"2025-08-21 07:15:00",480
"2025-08-21 07:30:00",540
"2025-08-21 07:45:00",910
"2025-08-21 08:00:00",740
"2025-08-21 08:15:00",1160
"2025-08-21 08:30:00",980
"2025-08-21 08:45:00",1070
"2025-08-21 09:00:00",1010
"2025-08-21 09:15:00",1460
"2025-08-21 09:30:00",1900
"2025-08-21 09:45:00",1500
"2025-08-21 10:00:00",1680
"2025-08-21 10:15:00",2100
"2025-08-21 10:30:00",1490
"2025-08-21 10:45:00",1290
"2025-08-21 11:00:00",1320
